,Title,Description,PubDate,Categorie
14,Tickets-restaurant : bientôt une utilisation élargie au dimanche ?,"Le gouvernement dit étudier la question très sérieusement, dans le cadre de la réforme globale des titres-restaurant qu’il prépare.","Thu, 27 Mar 2025 09:17:36 +0100",economie
15,"Scandales chez Nestlé : ""Tout ce qui se passe dans cette entreprise, la direction de Nestlé le connaît, l'autorise"", souligne la lanceuse d'alerte Yasmine Motarjemi","Yasmine Motarjemi, ancienne directrice monde de la sécurité alimentaire chez Nestlé, a alerté à plusieurs reprises sur les scandales sanitaires au sein de l'entreprise, avant d'être harcelée puis licenciée en 2010.","Thu, 27 Mar 2025 09:06:11 +0100",economie
16,"Le déficit public de la France atteint 5,8% du PIB en 2024, un peu mieux que les 6% anticipés par le gouvernement","La dette publique a par ailleurs dépassé les 3 300 milliards d'euros à la fin de l'année, selon l'Insee. Le gouvernement compte ramener le déficit à 5,4% du PIB en 2025, avant de repasser sous la limite européenne de 3% en 2029.","Thu, 27 Mar 2025 08:24:09 +0100",economie
17,"Police nationale : la Cour des comptes pointe le coût ""particulièrement élevé"" des moyens alloués aux organisations syndicales","Ces moyens sont évalués à 54 millions d'euros en 2022. Si on rapporte au nombre d'agents, c'est deux fois plus d'argent que pour les autres syndicats de la fonction publique, d'après un rapport publié mercredi.","Thu, 27 Mar 2025 08:13:48 +0100",economie
18,"Les délais de paiement fragilisent de nombreuses PME, alerte le Médiateur des entreprises","Beaucoup de petites entreprises meurent de ne pas être payées dans les temps par leurs clients qui sont les grandes entreprises et les administrations. Selon le bilan du Médiateur des entreprises, les conditions de paiement ont été le premier motif de saisines.","Thu, 27 Mar 2025 07:59:02 +0100",economie
19,Plus d’un Français sur deux a déjà réduit son propre budget pour nourrir son chien,"Près de 20% des sondés affirment que cela leur arrive ""régulièrement"" de faire passer leur animal avant eux, d'après une étude publiée jeudi.","Thu, 27 Mar 2025 07:01:03 +0100",economie
20,"Dans les Pyrénées-Orientales, le succès du maraîchage sur sol vivant","Économique, écologique et savoureux, le maraîchage sur sol dit ""vivant"" rencontre un franc succès. Reportage dans les Pyrénées-Orientales, où André Trives, maraîcher catalan, nous explique son fonctionnement.","Thu, 27 Mar 2025 16:26:42 +0100",economie
21,"Déficit public : malgré des chiffres meilleurs qu'attendus, le gouvernement toujours confronté à une équation budgétaire délicate","Le déficit public de la France a atteint 5,8% du produit intérieur brut (PIB) en 2024, un peu mieux que les 6% anticipés par le gouvernement, a annoncé l'Insee, jeudi.","Thu, 27 Mar 2025 15:56:59 +0100",economie
22,"Charente-Maritime : sur l'île d'Oléron, la passion d'un marin-pêcheur","Sébastien Gas a commencé à pêcher lorsqu'il était enfant. Désormais marin-pêcheur, il continue de vivre sa passion avec la pêche à la palangre, une méthode traditionnelle.","Thu, 27 Mar 2025 17:02:05 +0100",economie
23,Cinq questions sur la hausse de 25% des droits de douane sur les automobiles étrangères annoncée par Donald Trump,"Le Mexique, le Japon et le Canada figurent parmi les pays les plus exposés. Du côté de l'Europe, l'Allemagne va être particulièrement affectée.","Thu, 27 Mar 2025 17:17:57 +0100",economie
24,Réforme de la TVA : les auto-entrepreneurs se mobilisent contre l'abaissement du seuil,"Le gouvernement envisage de faire payer aux auto-entrepreneurs la TVA dès 25 000 euros par an et non plus 85 000. Pour beaucoup, cela signifierait une augmentation de leurs prix ou la fin de leur activité.","Thu, 27 Mar 2025 17:27:38 +0100",economie
25,"REPORTAGE. Les magasins bio, comme Biocoop, retrouvent le chemin de la croissance","Malgré des difficultés qui persistent dans certaines filières, comme l'élevage, le secteur redémarre enfin après la crise inflationniste qui avait vu ses ventes chuter. L'enseigne Biocoop devrait continuer à voir son chiffre d'affaires progresser en 2025.","Thu, 27 Mar 2025 18:27:43 +0100",economie
26,"Menace de hausse des droits de douane sur l’alcool européen : ""Une guerre commerciale, c’est perdant-perdant"", pour la ministre de l’Agriculture",La ministre de l'Agriculture était à Grenoble jeudi pour la clôture du 79e congrès du syndicat agricole FNSEA.,"Thu, 27 Mar 2025 19:23:43 +0100",economie
27,"Réarmement de la France : les PME prêtes à prendre leur part, sous certaines conditions","Pour répondre aux attentes de l'État qui souhaite renforcer l'armement français, les entreprises sont prêtes à augmenter leur production. Mais certaines demandent des garanties.","Thu, 27 Mar 2025 21:23:22 +0100",economie
28,"Déficit public : de meilleurs chiffres en 2024, mais un objectif ambitieux pour 2025","Si le déficit public a été revu à la baisse en 2024, l'objectif d'un déficit à 5,4% du PIB en 2025 est ambitieux. Sur le plateau du 20 Heures, le journaliste Jean-Paul Chapel explique pourquoi cela sera compliqué.","Thu, 27 Mar 2025 21:35:03 +0100",economie
29,Pénurie de médicaments : moins de ruptures de stock dans les pharmacies,"Les ruptures de stock de certains médicaments s'estompent depuis le début de l'année 2025. Derrière cette amélioration, le travail d'officines autorisées à fabriquer des médicaments manquants.","Thu, 27 Mar 2025 21:50:20 +0100",economie
30,Hausse des droits de douane américains : Stellantis visé par Donald Trump,"Avec une hausse de 25% des droits de douane sur les automobiles importées aux États-Unis, le groupe Stellantis pourrait être poussé à revoir sa stratégie industrielle.","Thu, 27 Mar 2025 21:56:31 +0100",economie
31,Blanchiment d'argent : un yacht vendu aux enchères pour 10 millions d'euros,Un yacht saisi à un milliardaire biélorusse impliqué dans une affaire de blanchiment d'argent a été vendu plus de 10 millions d'euros jeudi 27 mars.,"Thu, 27 Mar 2025 22:15:24 +0100",economie
32,Les tensions entre la France et l'Algérie inquiètent les patrons,Les patrons de nombreuses entreprises françaises installées en Algérie sont inquiets face aux tensions diplomatiques entre les deux pays. Certains ont accepté de nous confier leurs difficultés anonymement.,"Thu, 27 Mar 2025 23:21:09 +0100",economie
33,Hausse des droits de douane américains : Stellantis visé par Donald Trump,"Avec une hausse de 25% des droits de douane sur les automobiles importées aux États-Unis, le groupe Stellantis pourrait être poussé à revoir sa stratégie industrielle.","Thu, 27 Mar 2025 23:59:43 +0100",economie
34,"Réarmement de la France : les PME prêtes à prendre leur part, à certaines conditions","Pour répondre aux attentes de l'État qui souhaite renforcer l'armement français, les entreprises sont prêtes à augmenter leur production. Mais certaines demandent des garanties.","Fri, 28 Mar 2025 00:13:54 +0100",economie
35,La décision du Conseil constitutionnel sur l'inéligibilité d'un élu mahorais peut-elle faire jurisprudence pour Marine Le Pen ?,"La patronne des députés RN risque cinq ans de prison ferme et cinq ans d'inéligibilité avec exécution provisoire dans l'affaire des assistants parlementaires du Front national, dont le jugement doit être rendu lundi.","Fri, 28 Mar 2025 05:54:27 +0100",economie
36,"TEMOIGNAGE. ""Très vite, ça m'a mis des bâtons dans les roues"" : l'endométriose, cette maladie ""connue, mais mal connue"" qui peut freiner la carrière des femmes","Après un début de vie professionnelle compliqué par sa maladie, Camille Derveaux Ringot démissionne pour se consacrer à un nouveau projet directement inspiré de son parcours. Franceinfo l'a rencontrée à l'occasion de la semaine européenne d'information et de prévention sur l'endométriose, qui se déroule du 3 au 9 mars.","Fri, 28 Mar 2025 06:29:42 +0100",economie
37,Hausse des droits de douane américains : Donald Trump affole le secteur automobile,"Donald Trump a annoncé de nouveaux droits de douane pour le secteur automobile avec une hausse de 25 % des droits de douane sur les automobiles importées aux États-Unis. L’entrée en vigueur interviendrait le 2 avril 2025, et l’annonce a suscité de vives réactions à l'international.","Fri, 28 Mar 2025 06:28:44 +0100",economie
38,"Guerre commerciale : les portes de la Chine ""s'ouvriront de plus en plus grand"", lance Xi Jinping aux investisseurs étrangers","Le président chinois s'est aussi inquiété de voir le libre-échange et le multilatéralisme confrontés à de ""graves défis"", au moment où son pays est ciblé par la guerre commerciale lancée par Donald Trump.","Fri, 28 Mar 2025 06:54:21 +0100",economie
39,"Avec les déboires de British Steel, une nouvelle illustration de la crise de la sidérurgie en Europe","Le sidérurgiste British Steel, filiale du chinois Jingye, a confirmé jeudi  la fermeture prochaine de ses hauts fourneaux de Scunthorpe, ainsi que d'autres installations au Royaume-Uni, invoquant des ""conditions de marché difficiles et des pertes financières importantes"".","Fri, 28 Mar 2025 07:39:07 +0100",economie
40,"""Acculturer, sensibiliser, former…"" : un guide de bonnes pratiques pour améliorer l'inclusion des personnes trans et non binaires au travail",Ce troisième guide employeur est le premier de l'association L'Autre Cercle qui inclut la non-binarité.,"Fri, 28 Mar 2025 07:46:52 +0100",economie
41,"Guerre commerciale : les portes de la Chine ""s'ouvriront de plus en plus grand"", lance Xi Jinping aux investisseurs étrangers","Le président chinois s'est aussi inquiété de voir le libre-échange et le multilatéralisme confrontés à de ""graves défis"", au moment où son pays est ciblé par la guerre commerciale lancée par Donald Trump.","Fri, 28 Mar 2025 08:04:15 +0100",economie
42,"REPORTAGE. ""On va se rendre compte qu'elle a bu beaucoup d'alcool"" : comment les entreprises sensibilisent leurs employés aux addictions","Pour changer des formations classiques sur les risques d'addictions au travail (alcool, drogue...), certaines entreprises organisent des sessions sous forme de quiz ou encore d'escape game. Une manière aussi de réduire les risques d'accidents au travail.","Fri, 28 Mar 2025 08:34:24 +0100",economie
43,"TikTok Shop : dès lundi, il sera possible de faire son shopping directement sur le réseau social",Le réseau social chinois va permettre à ses utilisateurs français de faire ses courses sans quitter l'application. Une nouveauté qui soulève de nombreuses questions.,"Fri, 28 Mar 2025 08:35:48 +0100",economie
44,La RATP dévoile son plan d'action pour lutter contre la fraude sur l'ensemble de son réseau en Ile-de-France,"Ce plan, articulé autour de 20 actions, vise à améliorer la prévention, intensifier les contrôles, faciliter les réponses pénales, tout en renforçant la sécurité des agents.","Fri, 28 Mar 2025 09:00:21 +0100",economie
45,La décision du Conseil constitutionnel sur l'inéligibilité d'un élu mahorais peut-elle faire jurisprudence pour Marine Le Pen ?,"La patronne des députés RN risque cinq ans de prison ferme et cinq ans d'inéligibilité avec exécution provisoire dans l'affaire des assistants parlementaires du Front national, dont le jugement doit être rendu lundi.","Fri, 28 Mar 2025 09:28:29 +0100",economie
46,"REPORTAGE. ""Les concessionnaires sont très inquiets"" : aux Etats-Unis, l'augmentation des droits de douane sur les voitures étrangères risque de perturber le marché","Dès mercredi, les droits de douane sur les voitures fabriquées à l'étranger augmenteront de 25% aux Etats-Unis.","Fri, 28 Mar 2025 09:31:41 +0100",economie
47,La décision du Conseil constitutionnel sur l'inéligibilité d'un élu mahorais peut-elle faire jurisprudence pour Marine Le Pen ?,"La patronne des députés RN risque cinq ans de prison ferme et cinq ans d'inéligibilité avec exécution provisoire dans l'affaire des assistants parlementaires du Front national, dont le jugement doit être rendu lundi.","Fri, 28 Mar 2025 09:46:08 +0100",economie
48,"Retraites : ""On a clarifié les relations avec le gouvernement"" estime Marylise Léon","Marylise Léon, secrétaire générale de la CFDT, était l’invitée des ""4 Vérités"" mardi 25 mars.","Fri, 28 Mar 2025 09:41:48 +0100",economie
49,La décision du Conseil constitutionnel sur l'inéligibilité d'un élu mahorais peut-elle faire jurisprudence pour Marine Le Pen ?,"La patronne des députés RN risque cinq ans de prison ferme et cinq ans d'inéligibilité avec exécution provisoire dans l'affaire des assistants parlementaires du Front national, dont le jugement doit être rendu lundi.","Fri, 28 Mar 2025 10:21:07 +0100",economie
50,Euromillions : un pactole de 243 millions d’euros en jeu,"Le jackpot record de 243 millions d’euros fait rêver, entre voyages, plaisirs personnels et cadeaux aux proches. Mais le meilleur choix reste l’investissement, pouvant générer jusqu’à 500 000 euros par mois sans effort.","Fri, 28 Mar 2025 10:46:56 +0100",economie
51,Mondiaux de snowboard : le retour très médiatique de l'athlète Chloé Trespeuch après un accouchement,"Elle ne pensait pas revenir si vite. Moins de trois mois après avoir donné naissance à Marlo, la Française Chloé Trespeuch effectue un retour express en compétition. Elle concourt aux Mondiaux de snowboardcross vendredi et vise une médaille.","Fri, 28 Mar 2025 11:07:26 +0100",economie
52,Mondiaux de snowboard : le retour très médiatique de l'athlète Chloé Trespeuch après un accouchement,"Elle ne pensait pas revenir si vite. Moins de trois mois après avoir donné naissance à Marlo, la Française Chloé Trespeuch effectue un retour express en compétition. Elle concourt aux Mondiaux de snowboardcross vendredi et vise une médaille.","Fri, 28 Mar 2025 11:09:42 +0100",economie
53,Mondiaux de snowboard : le retour très médiatique de l'athlète Chloé Trespeuch après un accouchement,"Elle ne pensait pas revenir si vite. Moins de trois mois après avoir donné naissance à Marlo, la Française Chloé Trespeuch effectue un retour express en compétition. Elle concourt aux Mondiaux de snowboardcross vendredi et vise une médaille.","Fri, 28 Mar 2025 11:17:07 +0100",economie
54,Mondiaux de snowboard : le retour très médiatique de l'athlète Chloé Trespeuch après un accouchement,"Elle ne pensait pas revenir si vite. Moins de trois mois après avoir donné naissance à Marlo, la Française Chloé Trespeuch effectue un retour express en compétition. Elle concourt aux Mondiaux de snowboardcross vendredi et vise une médaille.","Fri, 28 Mar 2025 11:29:01 +0100",economie
55,Droits de douane américains : Stellantis dans le viseur de Donald Trump,"Le président américain a annoncé une augmentation de 25 % des droits de douane, dès le 2 avril, sur tous les véhicules qui ne sont pas fabriqués aux États-Unis. Cette nouvelle déclaration de guerre commerciale suscite des inquiétudes, notamment pour le groupe Stellantis.","Fri, 28 Mar 2025 11:38:39 +0100",economie
56,Les PME demandent des garanties pour renforcer l'armement français,"Les entreprises sont prêtes à répondre aux attentes de l'État, qui souhaite renforcer l'armement français, mais à certaines conditions. Les PME attendent notamment des engagements fermes de la part du gouvernement.","Fri, 28 Mar 2025 11:31:24 +0100",economie
57,Les zones à faibles émissions (ZFE) pourraient bientôt disparaître,"Les zones à faibles émissions (ZFE), créées en 2019 pour réduire la pollution de l'air, sont dans le collimateur de certains conducteurs et élus. Un projet de loi demandant leur suppression doit être examiné le 8 avril à l'Assemblée nationale.","Fri, 28 Mar 2025 11:50:15 +0100",economie
58,Droits de douane américains : Stellantis dans le viseur de Donald Trump,"Le président américain a annoncé une hausse de 25 % des droits de douane, dès le 2 avril, sur tous les véhicules qui ne sont pas fabriqués aux États-Unis. Cette nouvelle déclaration de guerre commerciale suscite des inquiétudes, notamment pour le groupe Stellantis.","Fri, 28 Mar 2025 12:04:38 +0100",economie
59,Les zones à faibles émissions (ZFE) pourraient bientôt disparaître,"Les zones à faibles émissions (ZFE), créées en 2019 pour réduire la pollution de l'air, sont dans le collimateur de certains conducteurs et élus. Un projet de loi demandant leur suppression doit être examiné le 8 avril à l'Assemblée.","Fri, 28 Mar 2025 12:04:14 +0100",economie
60,"Euromillions : ""On délivre aux grands gagnants quelques points de repère"", explique une responsable de la FDJ","La somme record de 243 millions d'euros est mise en jeu, vendredi, à l'Euromillions.","Fri, 28 Mar 2025 12:10:27 +0100",economie
61,Prix des carburants : la baisse va-t-elle continuer ?,"Les prix des carburants sont en baisse vendredi 28 mars, à leur plus bas niveau depuis novembre 2024. Les automobilistes font le plein, craignant de futures hausses.","Fri, 28 Mar 2025 15:41:22 +0100",economie
62,"Ferme squattée en Mayenne : ""Ils ont laissé une ferme abandonnée"", constate le propriétaire, qui vient de récupérer son exploitation","Après deux ans de combat, Patrice Garanger et son épouse ont pu récupérer leur ferme, que les acheteurs ont occupée sans l'avoir jamais payée.","Fri, 28 Mar 2025 16:06:55 +0100",economie
63,TikTok : les Français sont-ils prêts à faire leurs achats par la plateforme dès lundi ?,"À partir de lundi 31 mars, TikTok va proposer aux internautes français de faire leurs achats directement sur la plateforme. Une nouveauté testée par les Anglais qui divise.","Fri, 28 Mar 2025 16:32:20 +0100",economie
64,Croisières : le paquebot MSC World America a pris le large,"Après plus de deux ans de construction, le géant des mers est parti vers les États-Unis, jeudi 27 mars. Long de 333 mètres, il peut accueillir plus de 6 700 passagers et environ 2 000 membres d'équipage.","Fri, 28 Mar 2025 16:36:20 +0100",economie
65,"Ferme squattée en Mayenne : ""Ils ont laissé une ferme abandonnée"", constate le propriétaire, qui vient de récupérer son exploitation","Après deux ans de combat, Patrice Garanger et son épouse ont pu récupérer leur ferme, que les acheteurs ont occupée sans l'avoir jamais payée.","Fri, 28 Mar 2025 16:35:35 +0100",economie
66,"Ferme squattée en Mayenne : ""Ils ont laissé une ferme abandonnée"", déplore le propriétaire, qui vient de récupérer son exploitation","Après deux ans de combat, Patrice Garanger et son épouse ont pu récupérer leur ferme, que les acheteurs ont occupée sans l'avoir jamais payée.","Fri, 28 Mar 2025 16:39:23 +0100",economie
67,"Jura : le Pays d'Arbois, une nature intacte qui abrite la maison de Louis Pasteur","Au cœur du Jura, le 13h en week-end se rend au Pays d'Arbois, vendredi 28 mars. Entre trail et patrimoine, de nombreuses surprises sont à découvrir.","Fri, 28 Mar 2025 16:58:42 +0100",economie
68,"Manifestations en Turquie : un journaliste suédois arrêté à son arrivée dans le pays, où il devait couvrir la contestation","Les autorités turques ont par ailleurs expulsé jeudi un reporter de la BBC, lui aussi venu couvrir les manifestations consécutives à l'arrestation du maire d'Istanbul, leader de l'opposition à Recep Tayyip Erdogan.","Fri, 28 Mar 2025 16:41:12 +0100",economie
69,"Jura : le Pays d'Arbois, une nature intacte qui abrite la maison de Louis Pasteur","Au cœur du Jura, le ""13H en week-end"" se rend au Pays d'Arbois, vendredi 28 mars. Entre trail et patrimoine, de nombreuses surprises sont à découvrir.","Fri, 28 Mar 2025 17:51:59 +0100",economie
70,Une enquête ouverte après une vidéo des Jeunes Agriculteurs qui imagine la mort d'un agent de l'OFB,"Ces images cautionnent ""une forme de violence que nous subissons depuis plus d'un an"", a réagi Sylvain Michel, représentant du personnel de l'Office français de la biodiversité dans le Finistère.","Fri, 28 Mar 2025 18:58:43 +0100",economie
